query,scan_bytes,latency_ms
"SELECT user_id, SUM(total) FROM orders WHERE region = 'garden' GROUP BY user_id",7403199,80
"SELECT name, email FROM users WHERE signup_date > '2025-09-10'",2898855,33
SELECT * FROM orders WHERE total > 41576,5286499,67
SELECT * FROM orders WHERE total > 69218,4011641,48
SELECT * FROM products WHERE category = 'books',2499957,25
SELECT * FROM users WHERE id = 62860,1061182,20
SELECT * FROM orders WHERE total > 3182,5323154,60
SELECT * FROM users WHERE id = 56977,1086173,16
SELECT * FROM orders WHERE total > 58073,5259128,60
SELECT * FROM users WHERE id = 82877,1008936,20
SELECT * FROM orders WHERE total > 20092,4918977,52
SELECT * FROM products WHERE category = 'auto',1620342,19
SELECT * FROM users WHERE id = 88910,977971,23
"SELECT * FROM orders WHERE status IN ('delivered', 'cancelled', 'pending')",2961965,29
SELECT * FROM orders WHERE total > 69764,4671951,44
SELECT * FROM users WHERE id = 4922,873844,11
SELECT * FROM products WHERE category = 'garden',2225835,26
SELECT * FROM users WHERE id = 13492,1153088,18
SELECT * FROM orders WHERE total > 6033,4121800,55
SELECT * FROM orders WHERE total > 87607,4833810,48
SELECT * FROM orders WHERE total > 47710,4067022,55
SELECT COUNT(*) FROM events WHERE month = 'Jun',11759417,123
SELECT * FROM users WHERE id = 71071,832630,15
SELECT * FROM users WHERE id = 36781,1133995,21
SELECT * FROM orders WHERE total > 14842,4071515,39
SELECT COUNT(*) FROM events WHERE month = 'Mar',9106166,106
SELECT * FROM users WHERE id = 90818,930312,13
SELECT COUNT(*) FROM events WHERE month = 'Jun',11315512,124
"SELECT name, email FROM users WHERE signup_date > '2025-01-01'",2232271,24
"SELECT name, email FROM users WHERE signup_date > '2025-03-15'",2250479,25
SELECT * FROM orders WHERE total > 35720,5120340,60
SELECT * FROM users WHERE id = 47823,853100,3
"SELECT * FROM users WHERE id IN (167, 265, 703, 238)",1100688,26
"SELECT name, email FROM users WHERE signup_date > '2025-09-10'",2163304,36
SELECT COUNT(*) FROM events WHERE month = 'May',11229264,113
SELECT * FROM users WHERE id = 9240,942663,10
SELECT * FROM orders WHERE total > 83157,5994269,54
SELECT * FROM orders WHERE total > 96194,4618278,51
"SELECT name, email FROM users WHERE signup_date > '2025-01-01'",2613567,39
SELECT * FROM orders WHERE total > 19603,4470783,43
"SELECT * FROM users WHERE id IN (38, 375, 104, 580)",1080211,23
SELECT COUNT(*) FROM events WHERE month = 'Jun',9455527,90
"SELECT user_id, SUM(total) FROM orders WHERE region = 'auto' GROUP BY user_id",7507441,79
SELECT * FROM users WHERE id = 31311,923960,15
SELECT * FROM orders WHERE total > 27890,5972182,65
SELECT * FROM users WHERE id = 22547,1106601,11
"SELECT user_id, SUM(total) FROM orders WHERE region = 'books' GROUP BY user_id",9163024,105
SELECT * FROM users WHERE id = 22668,928830,23
SELECT * FROM orders WHERE total > 20162,4805761,53
SELECT COUNT(*) FROM events WHERE month = 'Feb',10346199,103
SELECT COUNT(*) FROM events WHERE month = 'Jan',11025016,116
SELECT * FROM users WHERE id = 18759,1020377,9
SELECT * FROM orders WHERE total > 61759,4889520,51
"SELECT * FROM orders WHERE status IN ('delivered', 'cancelled', 'cancelled')",2726825,39
"SELECT * FROM users WHERE id IN (189, 765, 204, 579, 896)",1108176,16
SELECT COUNT(*) FROM events WHERE month = 'Mar',10272277,111
SELECT * FROM users WHERE id = 70677,811009,17
SELECT * FROM products WHERE category = 'toys',1682149,15
SELECT COUNT(*) FROM events WHERE month = 'Feb',10584917,109
"SELECT name, email FROM users WHERE signup_date > '2025-09-10'",2324217,28
SELECT * FROM orders WHERE total > 37535,4793287,46
SELECT * FROM users WHERE id = 1100,1198178,21
SELECT * FROM users WHERE id = 84151,986648,24
"SELECT * FROM users WHERE id IN (113, 864)",1122017,11
SELECT * FROM users WHERE id = 55789,1131314,20
SELECT * FROM users WHERE id = 45321,927809,24
SELECT * FROM users WHERE id = 90655,809981,22
SELECT * FROM users WHERE id = 9234,986942,4
SELECT * FROM products WHERE category = 'books',2249214,35
SELECT * FROM orders WHERE total > 97841,5806645,66
SELECT * FROM users WHERE id = 90862,803959,4
SELECT * FROM users WHERE id = 39860,848993,15
"SELECT * FROM users WHERE id IN (351, 98)",1296904,25
SELECT * FROM orders WHERE total > 73042,4200520,52
SELECT COUNT(*) FROM events WHERE month = 'May',10292389,98
SELECT COUNT(*) FROM events WHERE month = 'Jan',10973789,122
SELECT COUNT(*) FROM events WHERE month = 'Feb',9733144,95
"SELECT user_id, SUM(total) FROM orders WHERE region = 'electronics' GROUP BY user_id",9831797,95
"SELECT * FROM orders WHERE status IN ('returned', 'cancelled', 'shipped', 'cancelled')",2339259,32
SELECT COUNT(*) FROM events WHERE month = 'Apr',11457066,118
SELECT * FROM users WHERE id = 58148,881233,3
SELECT * FROM orders WHERE total > 10603,4300109,47
SELECT COUNT(*) FROM events WHERE month = 'Mar',10488368,109
SELECT * FROM orders WHERE total > 50829,5271700,61
SELECT COUNT(*) FROM events WHERE month = 'Apr',10641101,111
SELECT * FROM users WHERE id = 84689,1099130,14
SELECT COUNT(*) FROM events WHERE month = 'Feb',9149893,86
"SELECT name, email FROM users WHERE signup_date > '2025-06-20'",2975043,25
"SELECT name, email FROM users WHERE signup_date > '2025-01-01'",3157445,44
SELECT * FROM orders WHERE total > 58716,5786479,62
SELECT * FROM orders WHERE total > 68257,5558225,70
"SELECT name, email FROM users WHERE signup_date > '2025-06-20'",3655477,36
SELECT COUNT(*) FROM events WHERE month = 'Mar',9580520,109
SELECT * FROM orders WHERE total > 80875,4189352,43
SELECT * FROM users WHERE id = 35498,1014130,12
SELECT COUNT(*) FROM events WHERE month = 'Mar',9661307,110
SELECT * FROM orders WHERE total > 17811,4385341,45
SELECT * FROM users WHERE id = 84191,801171,16
"SELECT * FROM users WHERE id IN (981, 10)",1162299,17
SELECT * FROM users WHERE id = 70885,1057225,22
SELECT * FROM orders WHERE total > 22280,4102538,40
SELECT COUNT(*) FROM events WHERE month = 'Jun',10201106,108
SELECT * FROM users WHERE id = 74614,842669,6
SELECT * FROM orders WHERE total > 13215,5009084,59
SELECT COUNT(*) FROM events WHERE month = 'Jun',11709485,126
SELECT * FROM users WHERE id = 67968,1115176,6
SELECT * FROM users WHERE id = 72014,802138,10
SELECT * FROM users WHERE id = 85741,1034287,19
SELECT * FROM users WHERE id = 77752,1063720,25
"SELECT * FROM orders WHERE status IN ('returned', 'delivered')",2171889,17
SELECT * FROM users WHERE id = 26713,1174992,25
SELECT * FROM products WHERE category = 'toys',1753707,28
"SELECT user_id, SUM(total) FROM orders WHERE region = 'auto' GROUP BY user_id",8792020,101
SELECT * FROM users WHERE id = 39417,958217,20
SELECT * FROM users WHERE id IN (163),1074298,6
SELECT * FROM orders WHERE total > 30306,5146797,55
SELECT * FROM users WHERE id = 84998,1001417,17
SELECT * FROM orders WHERE status IN ('delivered'),2296984,22
SELECT COUNT(*) FROM events WHERE month = 'Mar',9226167,100
SELECT COUNT(*) FROM events WHERE month = 'Feb',9145429,91
SELECT * FROM users WHERE id = 76825,823410,16
SELECT * FROM orders WHERE total > 51214,5744103,63
"SELECT * FROM users WHERE id IN (713, 501, 479)",1267368,27
SELECT * FROM users WHERE id = 13475,881028,20
SELECT * FROM users WHERE id IN (804),1079452,14
SELECT * FROM users WHERE id = 79831,1190524,26
"SELECT * FROM orders WHERE status IN ('shipped', 'shipped', 'delivered')",2523184,31
SELECT * FROM users WHERE id = 14358,889779,12
"SELECT * FROM users WHERE id IN (164, 691)",1052548,19
SELECT * FROM users WHERE id = 42834,1106384,21
SELECT * FROM orders WHERE status IN ('shipped'),2121811,22
SELECT * FROM products WHERE category = 'garden',1648014,14
SELECT COUNT(*) FROM events WHERE month = 'Mar',11272156,115
SELECT * FROM orders WHERE total > 27821,5484991,56
SELECT * FROM users WHERE id = 20830,1081583,16
SELECT * FROM users WHERE id = 7595,1018121,23
SELECT COUNT(*) FROM events WHERE month = 'Jan',11767702,116
"SELECT user_id, SUM(total) FROM orders WHERE region = 'auto' GROUP BY user_id",8372839,90
SELECT * FROM users WHERE id = 6209,941214,18
SELECT * FROM users WHERE id = 30733,1005949,8
SELECT * FROM orders WHERE total > 32834,5302598,55
SELECT * FROM users WHERE id = 855,942265,6
SELECT * FROM users WHERE id = 16432,1194844,15
SELECT * FROM orders WHERE total > 29436,5357698,61
SELECT * FROM products WHERE category = 'auto',1572830,23
SELECT * FROM products WHERE category = 'books',1983602,19
SELECT * FROM users WHERE id = 6535,990628,5
SELECT * FROM users WHERE id = 96402,853732,3
SELECT * FROM users WHERE id = 34094,866991,13
SELECT * FROM users WHERE id = 84426,1153760,20
"SELECT * FROM orders WHERE status IN ('returned', 'cancelled', 'cancelled', 'cancelled')",2525548,30
SELECT * FROM users WHERE id = 66135,1131157,19
"SELECT name, email FROM users WHERE signup_date > '2025-03-15'",2647808,40
"SELECT * FROM users WHERE id IN (250, 977, 190, 610, 290)",1467901,11
"SELECT * FROM orders WHERE status IN ('delivered', 'delivered', 'shipped')",2886537,38
SELECT COUNT(*) FROM events WHERE month = 'May',11945298,123
SELECT COUNT(*) FROM events WHERE month = 'Feb',9305342,107
SELECT * FROM users WHERE id = 80727,1118712,25
SELECT * FROM users WHERE id = 24076,997802,22
"SELECT * FROM orders WHERE status IN ('cancelled', 'cancelled', 'pending', 'delivered')",2802534,25
SELECT COUNT(*) FROM events WHERE month = 'Mar',9296011,90
"SELECT user_id, SUM(total) FROM orders WHERE region = 'auto' GROUP BY user_id",9941171,109
SELECT * FROM users WHERE id = 90070,973386,19
SELECT * FROM users WHERE id = 36733,943266,11
SELECT * FROM users WHERE id = 51256,924414,20
SELECT * FROM users WHERE id = 70831,1033462,23
SELECT * FROM orders WHERE total > 95214,5831564,67
SELECT * FROM users WHERE id = 8151,946733,20
SELECT * FROM orders WHERE total > 2286,4762635,48
SELECT * FROM sessions WHERE duration > 43758,3109724,27
SELECT * FROM users WHERE id = 36061,963945,23
SELECT * FROM users WHERE id = 59069,1041789,22
SELECT COUNT(*) FROM events WHERE month = 'Apr',10455206,118
SELECT * FROM products WHERE category = 'electronics',1699493,25
SELECT * FROM users WHERE id = 35475,1013323,13
"SELECT name, email FROM users WHERE signup_date > '2025-06-20'",3127393,42
SELECT * FROM orders WHERE total > 7203,5352930,60
SELECT COUNT(*) FROM events WHERE month = 'Jun',11497327,116
SELECT * FROM users WHERE id = 92897,879481,15
SELECT * FROM orders WHERE total > 7967,4423749,50
"SELECT user_id, SUM(total) FROM orders WHERE region = 'toys' GROUP BY user_id",7955557,77
SELECT * FROM users WHERE id = 50203,905850,20
SELECT * FROM users WHERE id = 14314,1000262,23
SELECT * FROM users WHERE id = 95083,930230,18
"SELECT name, email FROM users WHERE signup_date > '2025-09-10'",3029863,29
SELECT * FROM users WHERE id = 32895,960028,15
SELECT COUNT(*) FROM events WHERE month = 'May',11448342,119
"SELECT * FROM orders WHERE status IN ('shipped', 'shipped', 'pending', 'returned')",2159738,19
SELECT * FROM users WHERE id = 584,1140767,17
SELECT * FROM users WHERE id = 22737,873154,16
SELECT * FROM orders WHERE total > 6996,5539012,53
SELECT * FROM products WHERE category = 'garden',1872233,21
SELECT * FROM users WHERE id = 55272,1098595,14
"SELECT * FROM users WHERE id IN (41, 245)",1295932,18
SELECT * FROM users WHERE id = 63667,1125736,10
"SELECT * FROM users WHERE id IN (214, 919, 28)",1370323,9
"SELECT name, email FROM users WHERE signup_date > '2025-06-20'",3399668,30
SELECT * FROM users WHERE id = 80719,1193761,16
SELECT * FROM orders WHERE total > 89768,4456915,58
SELECT * FROM orders WHERE total > 40216,5049932,45
SELECT * FROM users WHERE id = 49430,888225,13
"SELECT * FROM users WHERE id IN (449, 126, 243, 704, 939)",1217849,10
SELECT * FROM users WHERE id = 17569,828163,8
"SELECT * FROM orders WHERE status IN ('shipped', 'pending', 'cancelled', 'shipped')",2110372,31
SELECT * FROM orders WHERE total > 78724,5850445,58
SELECT * FROM users WHERE id = 88085,1143754,6
SELECT COUNT(*) FROM events WHERE month = 'May',11846657,124
SELECT * FROM orders WHERE total > 2443,4888368,57
SELECT * FROM orders WHERE total > 51565,5195958,51
SELECT COUNT(*) FROM events WHERE month = 'May',9968294,104
SELECT * FROM users WHERE id = 95573,911548,6
SELECT * FROM users WHERE id = 15879,1125811,17
SELECT * FROM orders WHERE total > 9955,5526087,51
SELECT * FROM orders WHERE total > 8851,4975082,52
SELECT * FROM users WHERE id = 92327,985114,15
SELECT * FROM users WHERE id = 56078,1178816,14
SELECT * FROM users WHERE id = 8589,1164942,20
SELECT * FROM users WHERE id = 15982,810700,18
SELECT * FROM users WHERE id = 72982,992021,11
SELECT * FROM users WHERE id = 55954,1125083,23
SELECT * FROM users WHERE id = 37849,921863,18
SELECT * FROM products WHERE category = 'toys',1702313,31
SELECT * FROM users WHERE id = 20906,1127624,9
SELECT * FROM orders WHERE total > 14117,4058523,36
SELECT * FROM users WHERE id = 43257,1159428,25
SELECT * FROM users WHERE id = 72725,1068968,13
"SELECT * FROM users WHERE id IN (254, 233, 438, 467, 581)",1212645,20
SELECT * FROM users WHERE id = 89338,1141356,8
SELECT COUNT(*) FROM events WHERE month = 'Mar',10956491,114
SELECT COUNT(*) FROM events WHERE month = 'Apr',10414091,101
SELECT * FROM products WHERE category = 'books',2385227,24
SELECT COUNT(*) FROM events WHERE month = 'Jun',9636169,98
SELECT * FROM products WHERE category = 'garden',1907437,22
SELECT COUNT(*) FROM events WHERE month = 'May',9478980,98
SELECT COUNT(*) FROM events WHERE month = 'Jan',9389493,107
SELECT * FROM users WHERE id = 27296,1071634,10
SELECT * FROM users WHERE id = 70862,896776,15
SELECT COUNT(*) FROM events WHERE month = 'May',11888815,118
SELECT * FROM products WHERE category = 'auto',1535455,25
SELECT * FROM users WHERE id = 62411,804189,8
SELECT * FROM users WHERE id = 61298,1069134,15
SELECT * FROM orders WHERE total > 66155,5661058,66
SELECT COUNT(*) FROM events WHERE month = 'Jun',11499922,129
SELECT COUNT(*) FROM events WHERE month = 'Apr',10014100,105
SELECT * FROM orders WHERE total > 95129,4173617,42
SELECT COUNT(*) FROM events WHERE month = 'May',10214552,109
SELECT * FROM sessions WHERE duration > 81890,4597486,44
SELECT * FROM orders WHERE total > 16343,5042972,64
"SELECT name, email FROM users WHERE signup_date > '2025-09-10'",3159640,41
SELECT * FROM orders WHERE total > 86519,4980980,59
SELECT * FROM users WHERE id = 9553,929218,8
SELECT * FROM orders WHERE total > 21479,5786726,68
SELECT COUNT(*) FROM events WHERE month = 'Apr',11898088,129
SELECT * FROM users WHERE id = 95142,946579,14
"SELECT name, email FROM users WHERE signup_date > '2025-06-20'",2471687,30
"SELECT * FROM users WHERE id IN (477, 329, 355, 935, 955)",1216337,20
SELECT * FROM users WHERE id = 11566,814536,5
SELECT * FROM users WHERE id = 11472,1195485,23
"SELECT name, email FROM users WHERE signup_date > '2025-06-20'",3706338,48
SELECT * FROM orders WHERE total > 40271,4802363,55
SELECT * FROM users WHERE id = 50390,1078333,21
SELECT * FROM users WHERE id = 36964,1087681,16
"SELECT name, email FROM users WHERE signup_date > '2025-03-15'",3810329,40
SELECT COUNT(*) FROM events WHERE month = 'May',9193046,88
SELECT * FROM orders WHERE total > 63199,4274379,42
SELECT * FROM orders WHERE total > 38414,4599378,42
SELECT * FROM users WHERE id = 61013,1145369,18
"SELECT name, email FROM users WHERE signup_date > '2025-03-15'",2267927,28
SELECT * FROM users WHERE id = 34606,914054,8
SELECT * FROM users WHERE id = 97218,912166,21
SELECT COUNT(*) FROM events WHERE month = 'Jan',11279792,125
SELECT * FROM users WHERE id = 85690,892373,14
"SELECT * FROM orders WHERE status IN ('delivered', 'returned')",2934447,25
SELECT * FROM orders WHERE total > 15144,5509473,51
SELECT * FROM users WHERE id = 6428,956237,5
"SELECT name, email FROM users WHERE signup_date > '2025-09-10'",3682377,35
SELECT * FROM orders WHERE total > 11368,5242833,54
SELECT * FROM users WHERE id = 84715,1063742,23
SELECT * FROM users WHERE id = 66533,820821,14
"SELECT * FROM orders WHERE status IN ('cancelled', 'delivered')",2088370,30
SELECT * FROM users WHERE id = 35307,892448,18
SELECT * FROM users WHERE id = 10430,1060805,13
SELECT * FROM users WHERE id = 69483,863303,12
SELECT * FROM users WHERE id = 91652,1183057,25
SELECT * FROM users WHERE id = 72341,830909,22
SELECT * FROM users WHERE id = 28341,1024903,5
"SELECT * FROM users WHERE id IN (833, 21, 978, 227, 832)",1490647,27
SELECT COUNT(*) FROM events WHERE month = 'Jun',9564572,90
SELECT * FROM users WHERE id = 11763,902264,6
"SELECT * FROM users WHERE id IN (972, 994, 936, 140)",1333294,20
"SELECT user_id, SUM(total) FROM orders WHERE region = 'electronics' GROUP BY user_id",7400323,79
SELECT * FROM orders WHERE total > 65777,5877540,64
SELECT COUNT(*) FROM events WHERE month = 'Mar',10150284,99
SELECT * FROM orders WHERE total > 93202,4488077,58
SELECT * FROM users WHERE id = 75526,833862,12
SELECT * FROM users WHERE id = 91200,1101323,15
SELECT COUNT(*) FROM events WHERE month = 'Mar',11456950,111
SELECT * FROM orders WHERE total > 72770,4032129,36
SELECT * FROM orders WHERE total > 78646,4661276,56
SELECT * FROM products WHERE category = 'toys',2421306,24
SELECT * FROM products WHERE category = 'electronics',2162568,19
SELECT * FROM orders WHERE total > 43037,5150476,57
"SELECT * FROM users WHERE id IN (850, 788, 442, 348, 625)",1339734,26
SELECT * FROM users WHERE id = 95450,1036492,17
SELECT * FROM users WHERE id = 86023,804631,12
SELECT * FROM users WHERE id = 93513,835123,9
SELECT COUNT(*) FROM events WHERE month = 'Apr',10040880,114
SELECT * FROM users WHERE id = 15515,924515,5
"SELECT * FROM users WHERE id IN (791, 826)",1489019,25
SELECT * FROM products WHERE category = 'garden',1673784,20
SELECT * FROM orders WHERE total > 39806,5143739,52
"SELECT * FROM orders WHERE status IN ('shipped', 'shipped', 'pending')",2564639,36
SELECT * FROM users WHERE id = 69687,841231,13
SELECT * FROM orders WHERE total > 55930,5689793,54
SELECT * FROM orders WHERE total > 2679,5410642,69
SELECT * FROM orders WHERE total > 66707,4736751,55
SELECT * FROM users WHERE id = 67187,855035,13
SELECT * FROM users WHERE id = 87064,1056302,6
SELECT * FROM users WHERE id = 35743,854475,16
SELECT * FROM orders WHERE total > 16376,4041421,36
SELECT * FROM orders WHERE total > 1998,4019509,49
SELECT * FROM products WHERE category = 'toys',2085634,32
SELECT COUNT(*) FROM events WHERE month = 'Jan',10544964,117
SELECT * FROM users WHERE id = 65909,1148869,7
SELECT COUNT(*) FROM events WHERE month = 'Apr',10755216,105
SELECT * FROM users WHERE id = 32734,1063487,15
SELECT * FROM orders WHERE total > 71377,5312198,60
SELECT * FROM users WHERE id = 72814,859261,17
SELECT * FROM users WHERE id = 12938,865652,5
SELECT * FROM users WHERE id = 77946,989320,20
SELECT * FROM orders WHERE total > 77822,4008673,51
SELECT * FROM orders WHERE total > 11891,5605526,62
SELECT * FROM users WHERE id = 95260,1099395,7
SELECT * FROM users WHERE id = 91073,866117,4
"SELECT user_id, SUM(total) FROM orders WHERE region = 'electronics' GROUP BY user_id",9846836,104
SELECT * FROM users WHERE id IN (896),1316581,24
SELECT * FROM users WHERE id = 76994,1100953,23
SELECT * FROM users WHERE id = 28050,963586,22
SELECT * FROM users WHERE id = 37733,808653,8
SELECT COUNT(*) FROM events WHERE month = 'Apr',10623385,107
SELECT * FROM users WHERE id = 27237,1162940,25
SELECT * FROM users WHERE id = 26137,1067101,22
SELECT * FROM products WHERE category = 'auto',1783504,16
SELECT * FROM users WHERE id = 74928,1097320,12
SELECT COUNT(*) FROM events WHERE month = 'Feb',11709431,132
SELECT * FROM users WHERE id = 18291,877882,6
SELECT * FROM orders WHERE total > 93182,5205532,62
SELECT * FROM products WHERE category = 'electronics',2298997,27
SELECT * FROM users WHERE id = 76573,960387,20
SELECT * FROM users WHERE id = 21794,972996,14
SELECT * FROM users WHERE id = 28901,1008287,8
SELECT * FROM products WHERE category = 'auto',1839289,31
SELECT COUNT(*) FROM events WHERE month = 'Jun',9081585,97
SELECT * FROM users WHERE id = 85813,950353,20
"SELECT user_id, SUM(total) FROM orders WHERE region = 'electronics' GROUP BY user_id",8071200,81
"SELECT * FROM users WHERE id IN (220, 195, 205, 149, 629)",1442792,21
SELECT * FROM users WHERE id = 56921,1085320,5
SELECT COUNT(*) FROM events WHERE month = 'May',9891588,105
SELECT * FROM users WHERE id = 32784,974835,9
SELECT * FROM users WHERE id = 27334,847800,17
SELECT * FROM products WHERE category = 'electronics',1621444,11
SELECT * FROM orders WHERE total > 50843,4946306,44
SELECT * FROM users WHERE id = 21123,1177973,24
SELECT * FROM orders WHERE total > 44682,4249507,46
SELECT * FROM users WHERE id = 90796,1174214,22
SELECT * FROM orders WHERE total > 89289,5629837,65
SELECT * FROM orders WHERE total > 21650,4295989,44
SELECT COUNT(*) FROM events WHERE month = 'Apr',10482621,106
SELECT * FROM users WHERE id = 79846,1068549,20
"SELECT * FROM users WHERE id IN (870, 49)",1342485,24
SELECT * FROM users WHERE id = 47319,1167783,12
"SELECT name, email FROM users WHERE signup_date > '2025-06-20'",2622812,39
SELECT COUNT(*) FROM events WHERE month = 'Apr',9276719,102
SELECT * FROM orders WHERE total > 94923,5848398,56
SELECT COUNT(*) FROM events WHERE month = 'Jan',10474733,110
SELECT COUNT(*) FROM events WHERE month = 'May',10773962,107
SELECT * FROM orders WHERE total > 90295,5395347,59
SELECT * FROM users WHERE id = 49169,911197,7
SELECT * FROM users WHERE id = 96049,1093242,8
"SELECT name, email FROM users WHERE signup_date > '2025-03-15'",2361430,21
SELECT * FROM users WHERE id = 86529,820845,11
SELECT * FROM users WHERE id = 64401,883450,8
"SELECT name, email FROM users WHERE signup_date > '2025-03-15'",3276460,39
SELECT * FROM users WHERE id = 5759,1182357,18
SELECT * FROM users WHERE id = 51306,1145554,22
SELECT * FROM users WHERE id = 59124,1052291,14
SELECT * FROM users WHERE id = 34412,840252,5
SELECT COUNT(*) FROM events WHERE month = 'May',10318651,101
SELECT * FROM products WHERE category = 'auto',1557146,25
"SELECT user_id, SUM(total) FROM orders WHERE region = 'electronics' GROUP BY user_id",9937094,108
SELECT * FROM users WHERE id = 11298,839455,6
SELECT * FROM users WHERE id IN (25),1438072,27
SELECT * FROM orders WHERE total > 22389,4042190,54
SELECT COUNT(*) FROM events WHERE month = 'Jun',10943295,120
SELECT * FROM users WHERE id = 30410,819099,18
SELECT * FROM users WHERE id = 73115,874276,19
SELECT * FROM users WHERE id = 66946,801124,10
SELECT * FROM orders WHERE total > 66812,4613082,53
SELECT * FROM orders WHERE total > 7416,5490721,56
"SELECT * FROM users WHERE id IN (464, 117, 933, 279)",1277355,12
SELECT * FROM users WHERE id = 42369,954356,11
SELECT * FROM users WHERE id = 55721,1043128,21
SELECT COUNT(*) FROM events WHERE month = 'Mar',9209449,89
SELECT * FROM orders WHERE total > 13593,4116424,43
SELECT * FROM users WHERE id = 93386,1104033,25
SELECT * FROM users WHERE id = 75587,1074685,16
"SELECT * FROM users WHERE id IN (101, 336, 291)",1158852,14
SELECT COUNT(*) FROM events WHERE month = 'Jun',10792438,104
SELECT COUNT(*) FROM events WHERE month = 'Apr',10352763,105
SELECT * FROM orders WHERE total > 59123,4217433,46
SELECT * FROM users WHERE id = 93106,1160172,23
SELECT * FROM orders WHERE total > 9856,4766823,52
SELECT * FROM users WHERE id = 91201,1175615,20
"SELECT user_id, SUM(total) FROM orders WHERE region = 'garden' GROUP BY user_id",8382505,79
SELECT * FROM users WHERE id = 91267,942488,22
SELECT * FROM users WHERE id = 75691,1115741,12
SELECT * FROM orders WHERE total > 80324,4485630,58
SELECT * FROM users WHERE id = 1362,1029025,22
SELECT * FROM users WHERE id = 18911,826877,14
SELECT * FROM orders WHERE total > 4552,4490956,41
SELECT * FROM users WHERE id = 88341,879115,14
SELECT * FROM users WHERE id = 58410,1016849,16
SELECT * FROM orders WHERE total > 54176,4398366,40
SELECT * FROM users WHERE id = 77387,1037004,6
SELECT COUNT(*) FROM events WHERE month = 'Apr',11977905,123
SELECT * FROM users WHERE id = 6301,909078,24
SELECT * FROM sessions WHERE duration > 59629,4812227,47
SELECT * FROM users WHERE id = 67853,959048,16
SELECT * FROM orders WHERE total > 2315,4761909,51
SELECT * FROM users WHERE id = 95653,908391,12
SELECT * FROM users WHERE id = 32891,1011759,8
SELECT COUNT(*) FROM events WHERE month = 'Feb',9432573,93
SELECT * FROM users WHERE id = 68305,906322,21
SELECT * FROM orders WHERE total > 87134,5714896,58
SELECT * FROM orders WHERE total > 64795,5484031,61
SELECT * FROM users WHERE id = 94773,1167818,25
SELECT * FROM users WHERE id = 88064,801343,21
"SELECT * FROM users WHERE id IN (902, 867, 717)",1386454,19
"SELECT name, email FROM users WHERE signup_date > '2025-01-01'",2364281,28
SELECT * FROM orders WHERE total > 7211,5637235,64
SELECT * FROM orders WHERE total > 58916,4854066,54
SELECT COUNT(*) FROM events WHERE month = 'Jan',11696511,125
"SELECT user_id, SUM(total) FROM orders WHERE region = 'books' GROUP BY user_id",8773832,97
SELECT * FROM orders WHERE total > 93595,4971666,46
SELECT * FROM orders WHERE total > 82153,5461484,62
SELECT * FROM products WHERE category = 'toys',2398090,28
SELECT * FROM products WHERE category = 'books',1896821,29
SELECT COUNT(*) FROM events WHERE month = 'Jun',11549615,114
SELECT * FROM users WHERE id = 25551,1033944,20
"SELECT user_id, SUM(total) FROM orders WHERE region = 'toys' GROUP BY user_id",8262459,94
SELECT COUNT(*) FROM events WHERE month = 'Apr',11313956,123
SELECT COUNT(*) FROM events WHERE month = 'Mar',11693491,112
"SELECT * FROM orders WHERE status IN ('delivered', 'pending', 'cancelled', 'delivered')",2501122,35
"SELECT * FROM users WHERE id IN (373, 997, 315, 781, 588)",1019355,21
SELECT * FROM products WHERE category = 'electronics',1999607,21
SELECT COUNT(*) FROM events WHERE month = 'Jan',10422575,105
SELECT COUNT(*) FROM events WHERE month = 'Feb',9806089,103
SELECT * FROM users WHERE id = 12385,1146382,20
SELECT * FROM orders WHERE total > 38757,5858845,66
SELECT * FROM users WHERE id = 41393,810753,17
SELECT * FROM products WHERE category = 'garden',1584998,17
SELECT * FROM products WHERE category = 'auto',1941117,27
SELECT * FROM orders WHERE total > 45401,4639788,43
SELECT * FROM orders WHERE total > 57774,5948881,71
SELECT * FROM products WHERE category = 'auto',1514689,26
SELECT COUNT(*) FROM events WHERE month = 'Jun',10575912,113
SELECT * FROM products WHERE category = 'auto',2499005,19
SELECT * FROM orders WHERE total > 60363,4788109,42
SELECT * FROM users WHERE id = 40373,1062241,25
SELECT * FROM products WHERE category = 'garden',2385865,27
SELECT * FROM products WHERE category = 'books',2486450,28
SELECT * FROM users WHERE id = 1726,1012240,25
SELECT COUNT(*) FROM events WHERE month = 'Jan',10763082,117
SELECT COUNT(*) FROM events WHERE month = 'May',10047405,114
SELECT COUNT(*) FROM events WHERE month = 'Jun',10053887,96
SELECT * FROM orders WHERE total > 23848,5451484,51
SELECT * FROM products WHERE category = 'books',2432469,20
SELECT COUNT(*) FROM events WHERE month = 'Apr',11835206,129
SELECT * FROM users WHERE id = 68554,1074833,25
SELECT COUNT(*) FROM events WHERE month = 'Apr',9328042,105
SELECT * FROM orders WHERE total > 26908,4247094,55
SELECT COUNT(*) FROM events WHERE month = 'Jun',9414668,89
SELECT * FROM users WHERE id = 22168,930798,14
SELECT * FROM orders WHERE total > 93065,5374734,54
SELECT COUNT(*) FROM events WHERE month = 'Apr',9267592,97
SELECT * FROM users WHERE id = 90199,1096702,5
"SELECT name, email FROM users WHERE signup_date > '2025-03-15'",2225655,36
SELECT * FROM products WHERE category = 'garden',2015306,21
